FQDN;NNI1;NNI2;NNI3;NNI4
edge1-nuig-carron.nn.hea.net;edge1-gal1.nn.hea.net;empty;empty;empty
edge1-nuig-cimru.nn.hea.net;edge1-gal1.nn.hea.net;edge1-gal2.nn.hea.net;empty;empty
edge1-nuig-csc.nn.hea.net;edge1-gal1.nn.hea.net;edge1-gal2.nn.hea.net;empty;empty
edge1-nuig-gweedore.nn.hea.net;edge2-pw.nn.hea.net;empty;empty;empty
edge1-nuig-lgh.nn.hea.net;dist1-lyit.nn.hea.net;empty;empty;empty
edge1-nuig-martinryan.nn.hea.net;edge1-gal1.nn.hea.net;empty;empty;empty
edge1-nuig-mhars.nn.hea.net;edge1-gal1.nn.hea.net;empty;empty;empty
edge1-nuig-neb.nn.hea.net;edge1-gal1.nn.hea.net;empty;empty;empty
edge1-nuig-shannon.nn.hea.net;edge1-lim1.nn.hea.net;empty;empty;empty
edge1-nuig-sma.nn.hea.net;dist1-its.nn.hea.net;empty;empty;empty
edge1-nuig-srb.nn.hea.net;edge1-gal1.nn.hea.net;empty;empty;empty
edge1-nuig-stacs.nn.hea.net;dist1-its.nn.hea.net;empty;empty;empty
edge1-oir.nn.hea.net;edge1-tcd.nn.hea.net;empty;empty;empty
edge1-pac.nn.hea.net;edge1-gal1.nn.hea.net;n/a.nn.hea.net;empty;empty
edge1-pdst.nn.hea.net;edge2-dcu.nn.hea.net;empty;empty;empty
edge1-pw.nn.hea.net;core1-pw.nn.hea.net;empty;empty;empty
edge1-qqi.nn.hea.net;edge1-cwt.nn.hea.net;edge2-qqi.nn.hea.net;empty;empty
edge1-qub.nn.hea.net;edge2-cwt.nn.hea.net;dist2-lyit.nn.hea.net;empty;empty
edge1-rcpi.nn.hea.net;edge1-pw.nn.hea.net;empty;empty;empty
edge1-rcpi-kildarest.nn.hea.net;empty;empty;empty;empty
edge1-rcpi-setanta.nn.hea.net;empty;empty;empty;empty
edge1-ria.nn.hea.net;empty;empty;empty;empty
edge1-riam.nn.hea.net;edge1-pw.nn.hea.net;empty;empty;empty
edge1-rte.nn.hea.net;empty;empty;empty;empty
